;sc;ALO;FIS;RAI;TRU;MSC;ROS;MON;BUT;BAR;MAS;VIL;KLI;HEI;RSC;LIU;WEB;SPE;MTR;ALB;SAT;MTG;COU
37;0;1;4;2;5;3;ab;ab;9;ab;6;7;10;8;15;14;13;12;17;ab;16;ab;11
38;0;1;4;2;5;3;ab;ab;9;ab;6;7;10;8;15;14;13;12;17;ab;16;ab;11
39;0;1;4;2;5;3;ab;ab;9;ab;6;7;10;8;15;14;13;12;17;ab;16;ab;11
40;0;1;4;2;5;3;ab;ab;9;ab;6;7;10;8;15;14;13;12;17;ab;16;ab;11
41;0;1;4;2;5;3;ab;ab;9;ab;6;7;10;8;15;14;13;12;17;ab;16;ab;11
42;0;1;4;2;5;3;ab;ab;9;ab;6;7;10;8;15;14;13;12;17;ab;16;ab;11
43;0;1;4;2;5;3;ab;ab;9;ab;6;7;10;8;15;14;13;12;17;ab;16;ab;11
44;0;1;4;2;5;3;ab;ab;9;ab;6;7;10;8;15;14;13;12;17;ab;16;ab;11
45;0;1;4;2;5;3;ab;ab;9;ab;6;7;10;8;15;14;13;12;17;ab;16;ab;11
46;0;1;4;2;5;3;ab;ab;9;ab;6;7;10;8;15;14;13;12;17;ab;16;ab;11
47;0;1;4;2;8;3;ab;ab;9;ab;5;6;10;7;15;14;13;12;17;ab;16;ab;11
48;0;1;4;2;8;3;ab;ab;9;ab;5;6;10;7;15;14;13;12;17;ab;16;ab;11
49;0;2;4;1;8;3;ab;ab;9;ab;5;6;10;7;15;14;13;12;17;ab;16;ab;11
50;0;2;4;1;8;3;ab;ab;9;ab;5;6;10;7;15;14;13;12;17;ab;16;ab;11
51;0;2;4;1;8;3;ab;ab;11;ab;5;6;9;7;15;14;13;12;17;ab;16;ab;10
52;0;1;4;2;8;3;ab;ab;10;ab;5;6;11;7;15;14;13;12;17;ab;16;ab;9
53;0;1;4;2;7;3;ab;ab;10;ab;5;6;11;8;15;14;13;12;17;ab;16;ab;9
54;0;1;4;2;6;3;ab;ab;10;ab;5;8;11;7;15;14;13;12;17;ab;16;ab;9
55;0;1;4;2;6;3;ab;ab;9;ab;5;8;11;7;15;14;13;12;17;ab;16;ab;10
56;0;1;4;2;6;3;ab;ab;9;ab;5;8;10;7;17;14;13;12;16;ab;15;ab;11
57;0;1;4;2;6;3;ab;ab;9;ab;5;8;10;7;17;14;13;12;16;ab;15;ab;11
58;0;1;4;2;6;3;ab;ab;8;ab;5;ab;9;7;ab;13;12;11;15;ab;14;ab;10
59;1;1;4;2;6;3;ab;ab;8;ab;5;ab;9;7;ab;13;12;11;15;ab;14;ab;10
60;1;1;4;2;6;3;ab;ab;8;ab;5;ab;9;7;ab;13;12;11;15;ab;14;ab;10
61;1;1;4;2;6;3;ab;ab;8;ab;5;ab;9;7;ab;13;12;11;15;ab;14;ab;10
62;1;1;4;2;6;3;ab;ab;8;ab;5;ab;9;7;ab;13;12;11;15;ab;14;ab;10
63;0;1;4;2;6;3;ab;ab;8;ab;5;ab;9;7;ab;13;12;11;15;ab;14;ab;10
64;0;1;4;2;6;3;ab;ab;8;ab;5;ab;11;7;ab;13;12;10;14;ab;15;ab;9
65;0;1;4;2;6;3;ab;ab;8;ab;5;ab;11;7;ab;13;12;10;14;ab;15;ab;9
66;0;1;4;2;6;3;ab;ab;9;ab;5;ab;11;7;ab;13;12;10;14;ab;15;ab;8
67;0;1;4;2;6;3;ab;ab;9;ab;5;ab;11;7;ab;13;12;10;14;ab;15;ab;8
68;0;1;4;3;6;2;ab;ab;9;ab;5;ab;11;7;ab;13;12;10;14;ab;15;ab;8
69;0;1;4;3;6;2;ab;ab;9;ab;5;ab;11;7;ab;13;12;10;14;ab;15;ab;8
