;sc;ALO;FIS;MSC;MAS;BAR;RSC;TRU;BUT;RAI;HEI;WEB;MON;ROS;KLI;LIU;SPE;MTR;ALB;SAT;MTG;COU;VIL
23;0;1;3;2;5;6;17;8;4;7;9;10;ab;12;13;14;11;19;18;20;ab;15;16
24;0;1;3;2;4;10;17;7;5;6;8;9;ab;12;13;14;11;19;18;20;ab;15;16
25;0;1;3;2;4;10;17;6;8;5;7;9;ab;11;12;14;13;19;18;20;ab;15;16
26;0;1;3;2;4;10;17;8;7;5;6;9;ab;12;11;13;16;19;18;20;ab;14;15
27;0;1;3;2;4;9;17;11;7;5;6;8;ab;13;10;15;14;19;18;20;ab;16;12
28;0;1;3;2;4;8;17;9;6;5;7;10;ab;12;13;15;14;19;18;20;ab;16;11
29;0;1;3;2;4;7;17;9;6;5;8;10;ab;12;13;15;14;18;20;19;ab;16;11
30;0;1;3;2;4;7;18;9;6;5;8;10;ab;12;13;15;14;17;20;19;ab;16;11
31;0;1;3;2;4;7;ab;9;6;5;8;10;ab;12;13;15;14;17;18;19;ab;16;11
32;0;1;3;2;4;7;ab;9;6;5;8;10;ab;12;13;15;14;17;18;19;ab;16;11
33;0;1;3;2;4;7;ab;9;6;5;8;10;ab;12;13;15;14;17;18;19;ab;16;11
34;0;1;3;2;4;7;ab;9;6;5;8;10;ab;12;13;15;14;17;18;19;ab;16;11
35;0;1;3;2;4;7;ab;9;6;5;8;10;ab;12;13;15;14;17;18;19;ab;16;11
36;0;1;3;2;4;7;ab;9;6;5;8;10;ab;12;13;15;14;17;18;19;ab;16;11
37;0;1;3;2;4;7;ab;9;6;5;8;10;ab;12;13;15;14;17;19;18;ab;16;11
38;0;1;3;2;4;7;ab;9;6;5;8;10;ab;12;13;15;14;17;19;18;ab;16;11
39;0;1;3;2;4;7;ab;9;6;5;8;10;ab;11;13;15;14;17;19;18;ab;16;12
40;0;2;3;1;4;7;ab;9;6;5;8;10;ab;11;12;14;13;17;19;18;ab;16;15
41;0;2;5;1;3;7;ab;9;6;4;8;10;ab;11;12;14;13;17;19;18;ab;16;15
42;0;2;5;1;3;7;ab;9;6;4;8;10;ab;11;12;14;13;17;19;18;ab;16;15
43;0;2;4;1;5;7;ab;9;6;3;8;10;ab;11;12;14;13;17;19;18;ab;16;15
44;0;2;4;1;5;8;ab;9;6;3;7;10;ab;11;12;14;13;17;19;18;ab;16;15
45;0;2;3;1;5;8;ab;10;6;4;7;9;ab;11;12;14;13;17;19;18;ab;16;15
