;sc;MSC;MAS;BUT;ALO;MON;BAR;WEB;KLI;FIS;HEI;VIL;ROS;COU;TRU;LIU;SPE;RSC;ALB;MTR;SAT;IDE;RAI
31;0;1;11;3;2;4;13;5;7;ab;10;ab;12;9;16;8;14;15;ab;17;18;19;6
32;0;1;13;3;2;4;12;5;7;ab;10;ab;11;9;16;8;14;15;ab;17;18;19;6
33;0;1;12;3;2;4;13;5;7;ab;10;ab;11;9;16;8;14;15;ab;17;18;19;6
34;0;1;12;3;2;4;14;5;7;ab;10;ab;11;9;16;8;13;15;ab;17;18;19;6
35;0;2;11;3;1;4;14;5;7;ab;12;ab;10;9;16;8;13;15;ab;17;18;ab;6
36;0;3;11;2;1;4;14;5;7;ab;12;ab;9;10;16;8;13;15;ab;17;18;ab;6
37;0;3;11;2;1;4;15;5;7;ab;12;ab;9;10;16;8;13;14;ab;17;18;ab;6
38;0;3;11;2;1;4;16;5;7;ab;12;ab;9;10;15;8;13;14;ab;17;18;ab;6
39;0;3;11;1;2;4;15;7;6;ab;13;ab;8;9;16;10;12;14;ab;17;18;ab;5
40;0;2;11;5;1;3;15;7;6;ab;13;ab;8;9;16;10;12;14;ab;17;18;ab;4
41;0;2;11;5;1;3;15;6;8;ab;13;ab;7;9;16;10;12;14;ab;17;18;ab;4
42;0;2;11;5;1;3;15;6;8;ab;13;ab;7;9;16;10;12;14;ab;17;18;ab;4
43;0;2;11;5;1;3;15;6;7;ab;12;ab;9;8;16;10;13;14;ab;17;18;ab;4
44;0;2;11;4;1;5;15;6;7;ab;12;ab;9;8;16;10;13;14;ab;17;18;ab;3
45;0;2;11;4;1;5;15;6;7;ab;12;ab;9;8;16;10;13;14;ab;17;18;ab;3
46;0;2;11;4;1;5;15;6;7;ab;12;ab;9;8;16;10;13;14;ab;17;18;ab;3
47;0;2;10;4;1;5;15;6;7;ab;12;ab;9;8;16;11;13;14;ab;17;18;ab;3
48;0;2;10;4;1;5;15;6;7;ab;12;ab;8;9;16;11;13;14;ab;17;18;ab;3
49;0;2;10;4;1;5;15;6;7;ab;12;ab;8;9;16;11;13;14;ab;17;18;ab;3
50;0;2;10;4;1;5;15;6;7;ab;12;ab;8;9;16;11;13;14;ab;17;18;ab;3
51;0;2;10;4;1;5;15;6;7;ab;12;ab;8;9;16;11;13;14;ab;17;18;ab;3
52;0;2;10;4;1;5;15;6;7;ab;12;ab;8;9;16;11;13;14;ab;17;18;ab;3
53;0;2;9;4;1;5;15;6;7;ab;12;ab;8;10;16;11;13;14;ab;17;18;ab;3
54;0;2;9;4;1;5;15;6;7;ab;12;ab;8;10;16;11;13;14;ab;17;18;ab;3
55;0;2;9;4;1;5;15;6;8;ab;12;ab;7;10;16;11;13;14;ab;17;18;ab;3
56;0;2;9;4;1;5;15;6;8;ab;12;ab;7;10;16;11;13;14;ab;17;18;ab;3
