;sc;MAS;HAM;RAI;KUB;FIS;KOV;HEI;TRU;ROS;ALO;RSC;BUT;BAR;WEB;SPE;COU;LIU;WUR;DAV;ALB;SUT;SAT
60;0;2;3;1;4;6;15;5;ab;9;7;10;8;11;12;ab;13;ab;14;ab;ab;17;16
61;0;2;3;1;4;6;15;5;ab;9;7;10;8;11;12;ab;13;ab;14;ab;ab;17;16
62;0;2;3;1;4;6;15;5;ab;9;7;10;8;11;12;ab;13;ab;14;ab;ab;17;16
63;0;2;3;1;4;6;15;5;ab;9;7;10;8;11;12;ab;13;ab;14;ab;ab;17;16
64;0;2;3;1;4;6;15;5;ab;9;7;10;8;11;12;ab;13;ab;14;ab;ab;17;16
65;0;2;3;1;4;6;15;5;ab;9;7;10;8;11;12;ab;13;ab;14;ab;ab;17;16
66;0;2;3;1;4;6;15;5;ab;9;7;10;8;11;12;ab;13;ab;14;ab;ab;17;16
67;0;2;3;1;4;6;15;5;ab;9;7;10;8;11;12;ab;13;ab;14;ab;ab;17;16
68;0;2;3;1;4;6;15;5;ab;9;7;10;8;11;12;ab;13;ab;14;ab;ab;17;16
69;0;2;3;1;4;6;15;5;ab;9;7;10;8;11;12;ab;13;ab;14;ab;ab;17;16
