;sc;HAM;ALO;MAS;RAI;HEI;KOV;VET;TRU;WEB;FIS;COU;RSC;BUT;ROS;BAR;DAV;WUR;SAT;LIU;SPE;SUT;ALB
59;0;1;2;3;4;ab;5;9;7;8;10;ab;ab;12;6;ab;13;11;ab;15;14;16;17
60;0;1;2;3;4;ab;5;9;7;8;10;ab;ab;12;6;ab;13;11;ab;15;14;16;17
61;0;1;2;3;4;ab;5;9;7;8;10;ab;ab;12;6;ab;13;11;ab;15;14;16;17
62;0;1;2;3;4;ab;5;9;7;8;10;ab;ab;12;6;ab;13;11;ab;15;14;16;17
63;0;1;2;3;4;ab;5;9;7;8;10;ab;ab;12;6;ab;13;11;ab;15;14;16;17
64;0;1;2;3;4;ab;5;9;7;8;10;ab;ab;13;6;ab;12;11;ab;15;14;16;17
65;0;1;2;3;4;ab;5;9;7;8;10;ab;ab;13;6;ab;12;11;ab;15;14;16;17
66;0;1;2;3;4;ab;5;9;7;8;10;ab;ab;13;6;ab;12;11;ab;15;14;16;17
67;0;1;2;3;4;ab;5;9;7;8;10;ab;ab;13;6;ab;12;11;ab;15;14;16;17
68;0;1;2;3;4;ab;5;8;6;7;9;ab;ab;12;16;ab;11;10;ab;17;13;14;15
69;0;1;2;3;4;ab;5;8;6;7;9;ab;ab;12;16;ab;11;10;ab;17;13;14;15
70;0;1;2;3;4;ab;5;8;6;7;9;ab;ab;12;16;ab;11;10;ab;17;13;14;15
71;0;1;2;3;4;ab;5;8;6;7;9;ab;ab;12;16;ab;11;10;ab;17;13;14;15
72;0;1;2;3;4;ab;5;8;6;7;9;ab;ab;12;16;ab;11;10;ab;17;13;14;15
