;sc;MAS;HAM;RAI;ALO;WEB;HEI;KUB;TRU;COU;ROS;BAR;FIS;VET2;LIU;RSC;BUT;KOV;SAT;NAK;DAV;SUT;YAM
58;0;2;8;1;3;ab;4;6;7;9;5;ab;ab;ab;13;11;ab;ab;12;10;14;ab;ab
59;0;2;8;1;3;ab;4;6;7;9;5;ab;ab;ab;13;11;ab;ab;12;10;14;ab;ab
60;0;2;8;1;3;ab;6;4;7;10;5;ab;ab;ab;13;11;ab;ab;12;9;14;ab;ab
61;0;2;8;1;3;ab;6;4;7;9;5;ab;ab;ab;13;11;ab;ab;12;10;14;ab;ab
62;0;2;8;1;3;ab;6;4;7;9;5;ab;ab;ab;13;11;ab;ab;12;10;14;ab;ab
63;0;2;7;1;3;ab;6;4;8;9;5;ab;ab;ab;13;11;ab;ab;12;10;14;ab;ab
64;0;2;7;1;3;ab;6;4;8;9;5;ab;ab;ab;13;11;ab;ab;12;10;14;ab;ab
65;0;2;7;1;3;ab;6;4;8;9;5;ab;ab;ab;13;11;ab;ab;12;10;14;ab;ab
66;0;2;7;1;3;ab;6;4;8;9;5;ab;ab;ab;13;11;ab;ab;12;10;14;ab;ab
67;0;2;7;1;3;ab;6;4;8;9;5;ab;ab;ab;13;11;ab;ab;12;10;14;ab;ab
68;0;2;7;1;3;ab;6;4;8;9;5;ab;ab;ab;13;11;ab;ab;12;10;14;ab;ab
69;0;2;7;1;3;ab;6;5;8;9;4;ab;ab;ab;13;11;ab;ab;12;10;14;ab;ab
70;0;2;7;1;3;ab;6;5;8;9;4;ab;ab;ab;13;11;ab;ab;12;ab;14;ab;ab
