;race_idx;race_name;ALO;BIA;BOT;BUT;CHI;ERI;GRO;GUT;HAM;HUL;KOB;KVY;MAG;MAL;MAS;PER;RAI;RIC;ROS;SUT;VER;VET
0;1;AUS;4;nc;5;3;13;ab;ab;12;ab;6;ab;9;2;ab;ab;10;7;dsq;1;11;8;ab
1;2;MYS;4;ab;8;6;15;14;11;ab;1;5;13;10;9;ab;7;np;12;ab;2;ab;ab;3
2;3;BHR;9;16;8;17;13;ab;12;ab;1;5;15;11;ab;14;7;3;10;4;2;ab;ab;6
3;4;CHN;3;17;7;11;19;20;ab;16;1;6;18;10;13;14;15;9;8;4;2;ab;12;5
4;5;ESP;6;18;5;11;19;20;8;16;1;10;ab;14;12;15;13;9;7;3;2;17;ab;4
5;6;MCO;4;9;ab;6;14;11;8;ab;2;5;13;ab;10;np;7;ab;12;3;1;ab;ab;ab
6;7;CAN;6;ab;7;4;ab;ab;ab;14;ab;5;ab;ab;9;ab;12;11;10;1;2;13;8;3
7;8;AUT;5;15;3;11;17;18;14;19;2;9;16;ab;7;12;4;6;10;8;1;13;ab;ab
8;9;GBR;6;14;2;4;16;ab;12;ab;1;8;15;9;7;17;ab;11;ab;3;ab;13;10;5
9;10;DEU;5;15;2;8;17;18;ab;14;3;7;16;ab;9;12;ab;10;11;6;1;ab;13;4
10;11;HUN;2;15;8;10;16;ab;ab;ab;3;ab;ab;14;12;13;5;ab;6;1;4;11;9;7
11;12;BEL;7;18;3;6;16;17;ab;15;ab;10;-;9;12;ab;13;8;4;1;2;14;11;5
12;13;ITA;ab;18;4;8;ab;19;16;20;1;12;17;11;10;14;3;7;9;5;2;15;13;6
13;14;SGP;4;16;11;ab;17;15;13;ab;1;9;np;14;10;12;5;7;8;3;ab;ab;6;2
14;15;JPN;ab;20;6;5;18;17;15;13;1;8;19;11;14;16;7;10;12;4;2;21;9;3
15;16;RUS;6;-;3;4;ab;19;17;15;1;12;ab;14;5;18;11;10;9;7;2;16;13;8
16;17;USA;6;-;5;12;-;-;11;14;1;ab;-;15;8;9;4;ab;13;3;2;ab;10;7
17;18;BRA;6;-;10;4;-;-;17;14;2;8;-;11;9;12;3;15;7;ab;1;16;13;5
18;19;ABD;9;-;3;5;-;-;13;15;1;6;ab;ab;11;ab;2;7;10;4;14;16;12;8
