;race_idx;race_name;ALO;BIA;BOT;BUT;CHI;ERI;GRO;GUT;HAM;HUL;KOB;KVY;MAG;MAL;MAS;PER;RAI;RIC;ROS;SUT;VER;VET
0;1;AUS;5;18;15;10;17;19;22;20;1;7;14;8;4;21;9;16;11;2;3;13;6;12
1;2;MYS;4;19;18;10;21;22;15;12;1;7;20;11;8;16;13;14;6;5;3;17;9;2
2;3;BHR;9;19;3;6;21;20;16;15;2;11;18;12;8;17;7;4;5;13;1;22;14;10
3;4;CHN;5;19;7;12;21;20;10;17;1;8;18;13;15;22;6;16;11;2;4;14;9;3
4;5;ESP;7;18;4;8;17;19;5;13;1;10;20;12;14;22;9;11;6;3;2;16;21;15
5;6;MCO;5;21;13;12;19;22;14;17;2;11;20;9;8;15;16;10;6;3;1;18;7;4
6;7;CAN;7;19;4;9;18;20;14;22;2;11;21;15;12;17;5;13;10;6;1;16;8;3
7;8;AUT;4;18;2;11;21;20;22;17;9;10;19;7;6;13;1;15;8;5;3;16;14;12
8;9;GBR;16;12;14;3;17;21;11;19;6;4;22;9;5;20;15;7;18;8;1;13;10;2
9;10;DEU;7;17;2;11;21;22;14;16;20;9;19;8;4;18;3;10;12;5;1;15;13;6
10;11;HUN;5;15;3;7;18;19;14;13;22;9;17;10;21;20;6;12;16;4;1;11;8;2
11;12;BEL;4;16;6;10;19;22;15;20;2;18;-;11;7;17;9;13;8;5;1;14;12;3
12;13;ITA;7;19;3;6;20;22;17;15;1;13;18;21;5;16;4;10;11;9;2;14;12;8
13;14;SGP;5;19;8;11;21;22;16;14;1;13;20;10;9;18;6;15;7;3;2;17;12;4
14;15;JPN;5;18;3;8;21;17;16;15;2;13;19;12;7;22;4;11;10;6;1;14;20;9
15;16;RUS;7;-;3;4;20;16;15;13;1;17;19;5;11;21;18;12;8;6;2;14;9;10
16;17;USA;6;-;3;12;-;-;16;15;2;13;-;17;7;10;4;11;8;5;1;9;14;18
17;18;BRA;8;-;4;5;-;-;14;11;2;12;-;17;7;16;3;18;10;9;1;13;15;6
18;19;ABD;8;-;3;6;-;-;18;14;2;12;16;5;9;15;4;11;7;20;1;13;10;19
