;sc;VET;HAM;BUT;ALO;WEB;MAS;PET;MSC;ROS;SEN;DRE;SUT;BAR;MAL;PER;BUE;KOB;ALG;TRU;KOV;GLO;DAM;RIC;LIU
18;0;1;6;4;2;ab;3;ab;5;ab;10;12;ab;16;9;8;13;14;7;17;11;15;ab;18;ab
19;0;1;6;4;3;ab;2;ab;5;ab;13;9;ab;15;11;7;12;14;8;17;10;16;ab;18;ab
20;0;1;6;4;2;ab;3;ab;5;ab;13;8;ab;15;10;7;12;14;9;16;11;17;ab;18;ab
21;0;1;5;3;2;ab;7;ab;4;ab;12;8;ab;13;10;6;11;ab;9;15;14;16;ab;17;ab
22;0;1;5;3;2;ab;6;ab;4;ab;12;8;ab;13;10;7;11;ab;9;15;14;16;ab;17;ab
23;0;1;5;3;2;ab;6;ab;4;ab;12;8;ab;13;11;7;10;ab;9;15;14;16;ab;17;ab
24;0;1;5;3;2;ab;6;ab;4;ab;12;8;ab;13;11;7;10;ab;9;16;14;15;ab;17;ab
25;0;1;5;3;2;ab;6;ab;4;ab;12;8;ab;13;11;7;10;ab;9;16;14;15;ab;17;ab
26;0;1;4;3;2;ab;6;ab;5;ab;12;8;ab;13;11;7;10;ab;9;16;14;15;ab;17;ab
27;0;1;4;3;2;ab;6;ab;5;ab;12;8;ab;13;11;7;10;ab;9;16;14;15;ab;17;ab
28;0;1;4;3;2;ab;6;ab;5;ab;12;8;ab;13;11;7;10;ab;9;16;14;15;ab;17;ab
29;0;1;4;3;2;ab;6;ab;5;ab;11;8;ab;13;12;7;10;ab;9;16;14;15;ab;17;ab
30;0;1;4;3;2;ab;6;ab;5;ab;11;10;ab;13;12;7;9;ab;8;16;14;15;ab;17;ab
31;0;1;4;3;2;ab;6;ab;5;ab;10;12;ab;13;11;7;9;ab;8;16;14;15;ab;17;ab
32;0;1;4;3;2;ab;6;ab;5;ab;9;11;ab;13;10;ab;8;ab;7;15;12;14;ab;16;ab
