;sc;VET;WEB;BUT;HAM;ALO;ROS;MAS;SUT;SEN;MSC;DRE;BAR;ALG;BUE;PET;KOB;PER;MAL;KOV;TRU;LIU;RIC;DAM;GLO
0;0;1;2;3;5;4;7;6;8;9;11;10;19;17;13;12;14;16;20;15;18;22;24;21;23
1;0;1;2;3;5;4;7;6;8;9;10;11;18;17;14;12;13;15;19;16;20;22;24;21;23
2;0;1;2;3;5;4;7;6;8;9;10;11;17;16;14;12;13;15;19;18;20;22;24;21;23
3;0;1;2;3;5;4;7;6;8;9;10;11;17;16;14;12;13;15;18;19;20;22;24;21;23
4;0;1;2;3;5;4;7;6;8;9;10;11;17;16;14;12;13;15;18;19;20;22;24;21;23
5;0;1;2;3;5;4;7;6;8;9;10;11;17;16;14;12;13;15;18;19;20;22;24;21;23
6;0;1;2;3;5;4;7;6;8;9;10;11;17;16;14;12;13;15;18;19;20;22;24;21;23
7;0;1;2;3;5;4;7;6;8;9;10;11;17;16;14;12;13;15;18;19;20;22;24;21;23
8;0;1;2;3;5;4;7;6;8;9;10;11;17;16;14;12;13;15;18;19;20;22;24;21;23
9;0;1;2;3;5;4;7;6;8;9;24;10;16;15;13;11;12;14;17;18;19;21;23;20;22
10;0;1;2;4;5;3;7;6;8;9;24;10;16;15;13;11;12;14;17;18;19;21;23;20;22
11;0;1;2;4;5;3;7;6;8;12;24;9;16;15;13;10;11;14;17;18;19;21;23;20;22
12;0;1;2;4;5;3;7;6;8;18;24;9;15;14;11;12;10;13;16;17;19;21;23;20;22
13;0;1;2;4;5;3;7;6;8;18;24;9;14;13;11;17;10;12;15;16;19;21;23;20;22
14;0;1;2;6;4;3;7;5;14;18;24;8;13;12;10;17;9;11;15;16;19;21;23;20;22
15;0;1;2;7;5;3;6;4;13;18;24;8;15;12;10;17;9;11;14;16;19;21;23;20;22
16;0;2;1;5;6;4;13;3;12;16;24;8;19;11;9;14;7;10;15;17;18;21;23;20;22
17;0;3;1;5;6;4;12;2;11;15;24;14;17;10;8;13;7;9;18;19;16;21;23;20;22
18;0;2;3;5;6;4;11;1;8;17;24;14;16;10;12;13;7;9;18;19;15;21;23;20;22
19;0;2;3;5;6;4;10;1;8;17;24;13;16;9;14;12;7;11;18;19;15;20;23;22;21
20;0;1;2;5;6;4;9;3;7;17;22;12;16;11;13;10;8;14;18;19;15;20;24;23;21
21;0;1;2;4;5;3;8;6;7;16;20;10;15;14;12;9;11;13;17;19;18;22;23;21;ab
22;0;1;2;4;5;3;8;6;7;16;20;10;15;14;12;9;11;13;17;18;19;22;23;21;ab
23;0;1;2;4;5;3;8;6;7;16;20;10;15;14;12;9;11;13;17;18;19;22;23;21;ab
24;0;1;2;4;5;3;8;6;7;16;20;10;15;14;12;9;11;13;17;18;19;22;23;21;ab
25;0;1;2;4;5;3;8;6;7;17;19;10;15;14;12;9;11;13;16;18;20;22;23;21;ab
26;0;1;2;4;5;3;8;6;7;16;18;10;15;14;12;9;11;13;ab;17;19;21;22;20;ab
