;sc;VET;ALO;MAS;WEB;HAM;ROS;BUT;MSC;HEI;PET;DRE;MAL;KOB;SUT;BUE;BAR;DLR;ALG;TRU;KOV;LIU;GLO;KAR;DAM
57;1;1;ab;11;3;ab;9;4;2;ab;6;14;10;5;ab;12;7;13;8;19;ab;17;15;18;16
58;1;1;ab;11;3;ab;9;4;2;ab;6;14;10;5;ab;12;7;13;8;19;ab;17;15;18;16
59;1;1;ab;11;3;ab;9;4;2;ab;6;14;10;5;ab;12;7;13;8;19;ab;16;15;18;17
60;0;1;ab;9;3;ab;7;4;2;ab;5;12;14;6;ab;11;10;13;8;19;ab;16;15;18;17
61;0;1;ab;9;3;ab;7;4;2;ab;5;12;ab;6;ab;11;10;13;8;18;ab;15;14;17;16
62;0;1;ab;9;2;ab;7;4;3;ab;5;12;ab;6;ab;11;10;13;8;18;ab;15;14;17;16
63;0;1;ab;9;4;ab;7;3;2;ab;5;12;ab;6;ab;11;10;13;8;18;ab;14;15;16;17
64;0;1;ab;8;4;ab;7;2;3;ab;5;11;ab;6;ab;12;10;13;9;18;ab;14;15;16;17
65;0;1;ab;8;4;ab;7;2;3;ab;5;11;ab;6;ab;12;10;13;9;18;ab;14;15;16;17
66;0;1;ab;7;3;ab;8;2;4;ab;5;11;ab;6;ab;12;10;13;9;18;ab;14;15;16;17
67;0;1;ab;7;3;ab;8;2;4;ab;5;18;ab;6;ab;11;10;12;9;17;ab;13;16;14;15
68;0;1;ab;7;3;ab;8;2;4;ab;5;18;ab;6;ab;11;10;12;9;17;ab;13;16;14;15
69;0;2;ab;6;3;ab;11;1;4;ab;5;18;ab;7;ab;10;9;12;8;16;ab;13;15;ab;14
