;race_idx;race_name;ALB;BOT;GAS;GIO;GRO;HAM;HUL;KUB;KVY;LEC;MAG;NOR;PER;RAI;RIC;RUS;SAI;STR;VER;VET
0;1;AUS;13;2;17;14;6;1;11;20;15;5;7;8;10;9;12;19;18;16;4;3
1;2;BHR;12;4;13;16;11;3;17;20;15;1;6;9;14;8;10;19;7;18;5;2
2;3;CHN;20;1;6;19;10;2;8;18;11;4;9;15;12;13;7;17;14;16;5;3
3;4;AZE;11;1;20;17;14;2;15;18;6;8;12;7;5;19;10;16;9;13;4;3
4;5;ESP;11;1;6;18;7;2;20;17;9;5;8;10;15;14;13;19;12;16;4;3
5;6;MCO;10;2;8;18;13;1;11;20;7;15;5;12;16;14;6;19;9;17;3;4
6;7;CAN;13;6;5;12;14;2;7;19;10;3;20;8;15;16;4;18;11;17;9;1
7;8;FRA;11;2;9;10;16;1;13;18;19;3;15;5;14;12;8;20;6;17;4;7
8;9;AUT;18;3;8;7;11;4;15;17;16;1;10;5;13;6;12;20;19;14;2;9
9;10;GBR;9;1;5;11;14;2;10;20;17;3;16;8;15;12;7;19;13;18;4;6
10;11;DEU;16;3;4;11;6;1;9;18;14;10;12;19;8;5;13;17;7;15;2;20
11;12;HUN;12;2;6;17;9;3;11;19;13;4;14;7;16;10;20;15;8;18;1;5
12;13;BEL;17;4;13;18;9;3;12;20;19;1;8;11;7;6;10;14;15;16;5;2
13;14;ITA;8;3;17;10;13;2;6;15;12;1;11;16;18;20;5;14;7;9;19;4
14;15;SGP;6;5;11;10;17;2;8;19;14;1;13;9;15;12;20;18;7;16;4;3
15;16;RUS;20;4;16;12;8;2;6;18;19;1;13;7;11;15;10;17;5;14;9;3
16;17;JPN;6;3;9;11;10;4;15;20;14;2;19;8;17;13;16;18;7;12;5;1
17;18;MEX;5;6;10;15;18;3;12;20;9;1;17;8;11;14;13;19;7;16;4;2
18;19;USA;6;1;10;16;15;5;11;19;13;4;12;8;20;17;9;18;7;14;3;2
19;20;BRA;5;4;6;12;7;3;13;19;16;14;9;10;15;8;11;18;20;17;1;2
20;21;ABD;5;20;11;16;15;1;9;19;13;3;14;6;10;17;7;18;8;12;2;4
