;race_idx;race_name;ALB;ALO;BAR;BUT;COU;FIS;FRI;HEI;KAR;KLI;MAS;MTR;MON;RAI;SAT;MSC;RSC;TRU;VIL;WEB
0;1;AUS;ab;3;2;11;4;1;17;ab;15;7;10;16;6;8;14;ab;12;9;13;5
1;2;MYS;13;1;ab;ab;6;ab;ab;3;11;8;10;12;4;9;f;7;5;2;ab;ab
2;3;BHR;13;1;9;ab;8;ab;12;ab;ab;np;7;10;-;3;ab;ab;4;2;11;6
3;4;SMR;ab;1;ab;dsq;11;ab;ab;6;12;t;10;13;-;ab;dsq;2;9;5;4;7
4;5;ESP;ab;2;9;exc;8;5;ab;10;13;t;11;12;7;1;exc;ab;4;3;ab;6
5;6;MCO;14;4;8;exc;ab;12;ab;2;ab;t;9;13;5;1;exc;7;6;10;11;3
6;7;EUR;17;1;3;10;4;6;18;2;16;t;14;15;7;11;12;5;ab;8;13;ab
7;8;CAN;11;ab;3;ab;7;ab;ab;ab;ab;8;4;10;dsq;1;ab;2;6;ab;9;5
8;9;USA;5;f;2;f;f;f;6;f;4;f;f;3;f;f;f;1;f;f;f;f
9;10;FRA;ab;1;9;4;10;6;ab;14;15;ab;ab;13;ab;2;11;3;7;5;8;12
10;11;GBR;18;2;7;5;13;4;19;12;ab;15;10;17;1;3;16;6;8;9;14;11
11;12;DEU;13;1;10;3;7;4;-;11;16;9;8;17;2;ab;12;5;6;14;15;nc
12;13;HUN;nc;11;10;5;ab;9;-;6;12;ab;14;13;ab;1;8;2;3;4;ab;7
13;14;TUR;ab;2;10;5;7;4;-;ab;14;8;ab;15;3;1;9;ab;12;6;11;ab
14;15;ITA;19;2;12;8;15;3;-;f;20;13;9;17;1;4;16;10;6;5;11;14
15;16;BEL;12;2;5;3;ab;ab;-;-;11;9;10;8;14;1;ab;ab;7;ab;6;4
16;17;BRA;14;3;6;7;ab;5;-;-;15;9;11;ab;1;2;10;4;8;13;12;nc
17;18;JPN;16;3;11;5;6;2;-;-;15;9;10;13;ab;1;dsq;7;8;ab;12;4
18;19;CHN;16;1;12;8;9;4;-;-;ab;5;6;11;ab;2;ab;ab;3;15;10;7
