;race_idx;race_name;ALG;ALO;BAR;BUE;BUT;DAM;DRE;GLO;HAM;HEI;KOB;KOV;LIU;MAL;MAS;PER;PET;RIC;ROS;MSC;SUT;TRU;VET;WEB
0;1;AUS;11;4;ab;8;6;14;10;nc;2;12;dsq;ab;nq;ab;7;dsq;3;t;ab;ab;9;13;1;5
1;2;MYS;14;6;ab;13;2;ab;10;16;8;3;7;15;ab;ab;5;ab;17;t;12;9;11;ab;1;4
2;3;CHN;ab;7;13;14;4;20;11;21;1;12;10;16;22;18;6;17;9;t;5;8;15;19;2;3
3;4;TUR;16;3;15;9;6;20;ab;np;4;7;10;19;22;17;11;14;8;t;5;12;13;18;1;2
4;5;ESP;16;5;17;14;3;20;12;19;2;8;10;ab;ab;15;ab;9;11;t;7;6;13;18;1;4
5;6;MCO;ab;2;9;10;3;15;12;ab;6;8;5;14;16;18;ab;np;ab;t;11;ab;7;13;1;4
6;7;CAN;8;ab;9;10;1;14;18;15;ab;ab;7;ab;13;ab;6;f;5;t;11;4;ab;16;2;3
7;8;EUR;8;2;12;13;6;22;14;21;4;10;16;19;23;18;5;11;15;t;7;17;9;20;1;3
8;9;GBR;10;1;13;ab;ab;17;15;16;4;8;ab;ab;18;14;5;7;12;19;6;9;11;ab;2;3
9;10;DEU;12;2;ab;15;ab;18;13;17;1;ab;9;16;ab;14;5;11;10;19;7;8;6;-;4;3
10;11;HUN;10;3;13;8;1;19;7;17;4;ab;11;ab;20;16;6;15;12;18;9;ab;14;ab;2;5
11;12;BEL;ab;4;16;ab;3;17;11;18;ab;-;12;15;19;10;8;ab;9;ab;6;5;7;14;1;2
12;13;ITA;7;3;12;10;2;ab;8;15;4;-;ab;13;ab;11;6;ab;ab;nc;ab;5;ab;14;1;ab
13;14;SGP;21;4;13;12;2;18;6;ab;5;-;14;16;20;11;9;10;17;19;7;ab;8;ab;1;3
14;15;JPN;15;2;17;ab;1;21;12;20;5;-;13;18;23;14;7;8;9;22;10;6;11;19;3;4
15;16;KOR;7;5;12;9;4;20;10;18;2;-;15;14;21;ab;6;16;ab;19;8;ab;11;17;1;3
16;17;IND;8;3;15;ab;2;16;13;ab;7;-;ab;14;-;ab;ab;10;11;18;6;5;9;19;1;4
17;18;ABD;15;2;12;ab;3;ab;9;19;1;-;10;17;20;14;5;11;13;ab;6;7;8;18;ab;4
18;19;BRA;11;4;14;12;3;19;8;ab;ab;-;9;16;ab;ab;5;13;10;20;7;15;6;18;2;1
