;sc;VER;HAM;NOR;PER;SAI;BOT;LEC;TSU;OCO;RIC;ALO;GAS;STR;GIO;VET;LAT;RUS;RAI;MSC;MAZ
0;0;2;1;5;3;4;8;6;7;9;10;11;12;14;13;15;16;19;17;18;np
1;0;2;1;5;3;4;8;6;7;9;10;11;12;14;13;15;17;19;16;18;np
2;0;2;1;5;3;4;8;6;7;9;10;11;12;14;13;15;17;19;16;18;np
3;0;2;1;5;3;4;8;6;7;9;10;11;12;14;13;15;17;19;16;18;np
4;0;2;1;5;3;4;8;6;7;9;10;11;12;15;13;14;17;19;16;18;np
5;0;2;1;5;3;4;8;6;7;9;10;11;12;15;13;14;17;19;16;18;np
6;0;2;1;5;3;4;8;6;7;9;10;11;12;15;13;14;17;19;16;18;np
7;0;2;1;5;3;4;8;6;7;9;10;11;12;15;13;14;17;19;16;18;np
8;0;2;1;5;3;4;8;6;7;9;10;11;12;15;13;14;17;19;16;18;np
9;0;2;1;5;3;4;8;6;7;9;10;11;12;15;13;14;17;18;16;19;np
10;0;2;1;5;3;4;8;6;7;9;10;11;12;15;13;14;17;18;16;19;np
11;0;2;1;5;3;4;8;6;7;9;10;11;12;15;13;14;17;18;16;19;np
12;0;2;1;5;3;4;8;6;7;9;10;11;12;15;13;14;17;18;16;19;np
13;0;4;1;5;2;3;8;6;7;9;10;11;12;15;13;14;17;18;16;19;np
14;0;4;2;5;1;3;7;8;6;10;9;11;12;15;13;14;17;18;16;19;np
15;0;4;2;5;1;3;7;16;6;18;8;9;10;13;11;12;15;17;14;19;np
16;0;4;2;5;1;3;7;15;6;18;8;9;10;13;12;11;16;17;14;19;np
17;0;3;2;13;1;4;6;14;5;16;9;7;8;11;18;10;15;17;12;19;np
18;0;3;2;12;1;4;6;13;5;15;17;7;8;10;18;9;14;16;11;19;np
19;0;3;2;11;1;8;5;13;4;14;16;6;7;10;18;9;15;17;12;19;np
20;0;2;1;10;3;8;5;12;4;14;16;6;7;11;18;9;15;17;13;19;np
21;0;2;1;10;5;8;4;11;3;12;13;6;7;17;16;9;14;15;18;19;np
22;0;2;1;9;5;8;3;11;4;12;13;6;7;17;16;10;14;15;18;19;np
23;0;2;1;8;4;7;3;9;10;11;12;5;6;17;15;16;13;14;18;19;np
24;0;2;1;8;4;7;3;9;10;11;12;5;6;17;14;15;13;16;19;18;np
25;0;2;1;8;4;7;3;9;10;11;12;5;6;16;14;15;13;18;ab;17;np
26;0;2;1;8;4;7;3;9;10;11;12;5;6;16;13;15;14;ab;ab;17;np
27;0;2;1;8;4;7;3;9;10;11;12;5;6;15;13;14;16;ab;ab;17;np
28;0;2;1;8;4;7;3;9;10;11;12;5;6;15;13;14;17;ab;ab;16;np
29;0;2;1;8;3;7;4;9;10;11;12;5;6;15;13;14;17;ab;ab;16;np
30;0;2;1;7;3;6;9;8;10;11;12;4;5;15;13;14;17;ab;ab;16;np
31;0;2;1;7;3;6;9;8;10;11;12;4;5;15;13;14;17;ab;ab;16;np
32;0;2;1;7;3;6;9;8;10;11;12;4;5;15;13;14;17;ab;ab;16;np
33;0;2;1;7;3;6;8;9;10;11;12;4;5;14;ab;13;16;ab;ab;15;np
34;0;2;1;7;3;6;8;9;10;11;12;4;5;14;ab;13;16;ab;ab;15;np
35;1;2;1;7;3;6;8;12;9;10;11;4;5;14;ab;13;16;ab;ab;15;np
36;1;2;1;5;3;4;6;12;8;10;11;7;9;14;ab;13;16;ab;ab;15;np
37;0;2;1;5;3;4;6;12;7;10;11;8;9;14;ab;13;16;ab;ab;15;np
38;0;2;1;5;3;4;6;12;7;10;11;8;9;14;ab;13;16;ab;ab;15;np
39;0;2;1;5;3;4;6;12;7;10;11;8;9;14;ab;13;16;ab;ab;15;np
40;0;2;1;5;3;4;6;12;7;10;11;9;8;14;ab;13;16;ab;ab;15;np
41;0;2;1;5;3;4;6;12;7;10;11;9;8;14;ab;13;16;ab;ab;15;np
42;0;2;1;5;3;4;6;12;7;10;11;9;8;14;ab;13;16;ab;ab;15;np
43;0;2;1;5;3;4;6;12;7;10;11;9;8;14;ab;13;16;ab;ab;15;np
44;0;2;1;5;3;4;6;12;7;10;11;9;8;14;ab;13;16;ab;ab;15;np
45;0;2;1;5;3;4;6;12;7;10;11;9;8;14;ab;13;16;ab;ab;15;np
46;0;2;1;5;3;4;6;12;7;10;11;9;8;14;ab;13;16;ab;ab;15;np
47;0;2;1;6;3;4;5;12;7;10;11;9;8;14;ab;13;16;ab;ab;15;np
48;0;2;1;9;3;4;5;12;6;10;11;8;7;14;ab;13;16;ab;ab;15;np
49;0;2;1;8;3;4;5;12;6;10;11;9;7;14;ab;13;16;ab;ab;15;np
50;0;2;1;8;3;4;5;12;6;10;11;9;7;14;ab;13;ab;ab;ab;15;np
51;0;2;1;8;3;4;5;12;6;10;11;9;7;14;ab;13;ab;ab;ab;15;np
52;1;2;1;8;3;4;5;11;6;10;13;9;7;14;ab;12;ab;ab;ab;15;np
53;1;2;1;8;3;4;5;11;7;10;13;9;6;14;ab;12;ab;ab;ab;15;np
54;1;2;1;8;3;4;5;11;6;10;13;9;7;14;ab;12;ab;ab;ab;15;np
55;1;2;1;7;15;3;4;10;5;9;12;8;6;13;ab;11;ab;ab;ab;14;np
56;1;2;1;7;15;3;4;10;5;9;12;8;6;13;ab;11;ab;ab;ab;14;np
57;0;1;2;7;15;3;6;10;4;9;12;8;5;13;ab;11;ab;ab;ab;14;np
