;sc;HAM;BOT;VER;LEC;NOR;STR;SAI;RIC;OCO;VET;GAS;ALB;HUL;MAG;GIO;RAI;GRO;LAT;KVY;RUS
0;0;1;2;3;4;7;8;5;6;9;10;11;12;ab;15;13;17;16;19;14;18
1;1;1;2;3;4;7;8;5;6;9;10;11;12;ab;ab;13;16;15;18;14;17
2;1;1;2;3;4;7;8;5;6;9;10;11;12;ab;ab;13;16;15;18;14;17
3;1;1;2;3;4;7;8;5;6;9;10;11;12;ab;ab;13;16;15;18;14;17
4;1;1;2;3;4;7;8;5;6;9;10;11;12;ab;ab;13;16;15;18;14;17
5;0;1;2;3;4;7;8;5;6;9;10;11;13;ab;ab;12;16;15;18;14;17
6;0;1;2;3;4;7;8;5;6;9;10;11;18;ab;ab;12;15;14;17;13;16
7;0;1;2;3;4;7;8;5;6;9;10;11;18;ab;ab;12;15;14;17;13;16
8;0;1;2;3;4;7;8;5;6;9;10;11;18;ab;ab;12;15;14;17;13;16
9;0;1;2;3;4;7;8;5;6;9;10;11;18;ab;ab;12;15;14;17;13;16
10;0;1;2;3;4;7;8;5;6;9;10;11;18;ab;ab;13;15;14;17;12;16
11;1;1;2;3;4;7;8;6;5;9;10;11;17;ab;ab;12;13;14;16;ab;15
12;1;1;2;3;4;9;6;5;8;11;10;13;14;ab;ab;12;16;7;17;ab;15
13;1;1;2;3;4;8;9;6;7;11;10;13;14;ab;ab;12;16;5;17;ab;15
14;1;1;2;3;4;8;9;6;7;11;10;13;14;ab;ab;12;16;5;17;ab;15
15;1;1;2;3;4;8;9;6;7;11;10;13;14;ab;ab;12;16;5;17;ab;15
16;1;1;2;3;4;8;9;6;7;11;10;13;14;ab;ab;12;16;5;17;ab;15
17;1;1;2;3;4;8;9;6;7;11;10;13;14;ab;ab;12;16;5;17;ab;15
18;0;1;2;3;4;7;9;6;8;10;11;13;14;ab;ab;12;15;5;17;ab;16
19;0;1;2;3;4;7;9;6;8;10;11;13;14;ab;ab;12;15;5;17;ab;16
20;0;1;2;3;4;7;9;6;8;10;11;13;14;ab;ab;12;15;5;17;ab;16
21;0;1;2;3;4;7;9;5;8;10;11;13;14;ab;ab;12;15;6;17;ab;16
22;0;1;2;3;4;7;9;5;8;10;11;13;14;ab;ab;12;15;6;17;ab;16
23;0;1;2;3;4;6;9;5;8;10;11;13;14;ab;ab;12;15;7;17;ab;16
24;0;1;2;3;4;6;9;5;8;10;11;13;14;ab;ab;12;15;7;17;ab;16
25;0;1;2;3;4;6;9;5;8;10;11;13;14;ab;ab;12;15;7;17;ab;16
26;0;1;2;3;4;6;9;5;8;10;11;13;14;ab;ab;12;16;7;17;ab;15
27;0;1;2;3;4;6;9;5;8;10;11;13;14;ab;ab;12;16;7;17;ab;15
28;0;1;2;3;4;6;9;5;8;10;11;13;14;ab;ab;12;16;7;17;ab;15
29;0;1;2;3;4;6;9;5;8;10;11;12;13;ab;ab;14;16;7;17;ab;15
30;0;1;2;3;4;6;9;5;8;10;11;12;17;ab;ab;13;15;7;16;ab;14
31;0;1;2;3;4;6;9;5;8;10;11;12;17;ab;ab;13;16;7;15;ab;14
32;0;1;2;3;4;6;9;5;8;10;11;12;17;ab;ab;13;16;7;15;ab;14
33;0;1;2;3;4;6;9;5;8;10;11;12;17;ab;ab;13;16;7;15;ab;14
34;0;1;2;3;4;6;9;5;8;10;11;12;17;ab;ab;13;16;7;15;ab;14
35;0;1;2;3;4;6;8;5;7;10;11;12;17;ab;ab;13;16;9;15;ab;14
36;0;1;2;3;4;6;8;5;7;9;11;10;16;ab;ab;12;15;17;14;ab;13
37;0;1;2;3;4;6;8;5;7;9;11;10;16;ab;ab;12;15;17;14;ab;13
38;0;1;2;3;4;6;8;5;7;9;11;10;15;ab;ab;12;16;17;14;ab;13
39;0;1;2;3;4;6;8;5;7;9;11;10;15;ab;ab;12;16;17;14;ab;13
40;0;1;2;3;4;6;8;5;7;9;11;10;14;ab;ab;12;16;17;15;ab;13
41;0;1;2;3;4;6;8;5;7;9;11;10;14;ab;ab;12;16;17;15;ab;13
42;0;1;2;3;4;6;8;5;7;9;11;10;14;ab;ab;12;16;17;15;ab;13
43;0;1;2;3;4;6;8;5;7;9;11;10;14;ab;ab;12;17;16;15;ab;13
44;0;1;2;3;4;6;8;5;7;9;11;10;12;ab;ab;13;17;16;15;ab;14
45;0;1;2;3;4;6;9;5;7;8;11;10;12;ab;ab;13;17;16;15;ab;14
46;0;1;2;3;4;6;9;5;7;8;11;10;12;ab;ab;13;17;16;15;ab;14
47;0;1;2;3;4;6;9;5;7;8;11;10;12;ab;ab;13;17;16;15;ab;14
48;0;1;2;3;4;7;10;5;6;8;12;9;11;ab;ab;13;17;16;15;ab;14
49;0;1;4;2;3;7;10;5;6;8;12;9;11;ab;ab;13;17;16;15;ab;14
50;0;1;12;2;3;5;10;6;4;7;11;8;9;ab;ab;13;17;16;15;ab;14
51;0;1;11;2;3;5;9;14;4;6;10;7;8;ab;ab;12;17;16;15;ab;13
