;sc;BOT;RUS2;VER;LEC;PER;KVY;RIC;SAI;GAS;STR;OCO;ALB;VET;GIO;MAG;LAT;AIT;RAI;NOR;FIT
67;1;4;5;ab;ab;1;8;7;6;9;3;2;10;12;13;14;ab;17;15;11;16
68;0;4;5;ab;ab;1;8;7;6;10;3;2;9;12;13;14;ab;17;15;11;16
69;0;5;4;ab;ab;1;8;7;6;10;3;2;9;12;13;15;ab;17;14;11;16
70;0;5;4;ab;ab;1;8;7;6;10;3;2;9;12;13;15;ab;17;14;11;16
71;0;5;3;ab;ab;1;9;7;6;10;4;2;8;12;13;15;ab;17;14;11;16
72;0;5;2;ab;ab;1;9;7;6;10;4;3;8;12;13;15;ab;17;14;11;16
73;0;5;2;ab;ab;1;9;7;6;10;4;3;8;12;13;15;ab;17;14;11;16
74;0;5;2;ab;ab;1;9;7;6;10;4;3;8;12;13;15;ab;17;14;11;16
75;0;5;2;ab;ab;1;9;7;6;10;4;3;8;12;13;15;ab;17;14;11;16
76;0;7;2;ab;ab;1;9;6;5;10;4;3;8;12;13;15;ab;17;14;11;16
77;0;9;2;ab;ab;1;8;6;5;10;4;3;7;12;13;15;ab;17;14;11;16
78;0;8;14;ab;ab;1;7;5;4;9;3;2;6;11;12;15;ab;17;13;10;16
79;0;8;14;ab;ab;1;7;5;4;9;3;2;6;11;12;15;ab;17;13;10;16
80;0;8;13;ab;ab;1;7;5;4;9;3;2;6;11;12;15;ab;17;14;10;16
81;0;8;13;ab;ab;1;7;5;4;9;3;2;6;11;12;15;ab;16;14;10;17
82;0;8;12;ab;ab;1;7;5;4;9;3;2;6;11;13;15;ab;16;14;10;17
83;0;8;11;ab;ab;1;7;5;4;9;3;2;6;12;13;15;ab;16;14;10;17
84;0;8;11;ab;ab;1;7;5;4;10;3;2;6;12;13;15;ab;16;14;9;17
85;0;8;10;ab;ab;1;7;5;4;11;3;2;6;12;13;15;ab;16;14;9;17
86;0;8;9;ab;ab;1;7;5;4;11;3;2;6;12;13;15;ab;16;14;10;17
