;race_idx;race_name;ALE;BAR;BUT;COU;DLR;DIN;FIS;FRE;GEN;HAK;HEI;HER;IRV;MAZ;SAL;MSC;RSC;TRU;VER;VIL;WUR;ZON
0;1;AUS;17;4;21;2;12;19;9;5;18;1;15;20;7;22;10;3;11;6;13;8;14;16
1;2;BRA;15;4;9;2;16;-;5;7;18;1;19;17;6;20;-;3;11;12;14;10;13;8
2;3;SMR;15;4;18;3;13;10;19;6;21;1;22;17;7;20;12;2;5;8;16;9;11;14
3;4;GBR;15;1;6;4;19;13;12;2;21;3;17;14;9;22;18;5;7;11;8;10;20;16
4;5;ESP;17;3;10;4;22;15;13;8;20;2;19;14;9;21;12;1;5;7;11;6;18;16
5;6;EUR;17;4;11;1;12;15;7;10;20;3;-;16;8;21;19;2;5;6;13;9;14;18
6;7;MCO;7;6;14;3;16;19;8;4;21;5;18;11;10;22;13;1;9;2;15;17;12;20
7;8;CAN;17;3;18;2;9;19;10;5;20;4;21;11;16;22;15;1;12;7;13;6;14;8
8;9;FRA;18;3;10;2;13;15;14;8;21;4;16;11;6;22;12;1;5;9;20;7;17;19
9;10;AUT;17;3;18;2;12;11;8;15;20;1;13;16;-;22;9;4;19;5;10;7;14;6
10;11;DEU;20;18;16;1;5;19;3;17;22;4;13;8;10;21;15;2;14;6;11;9;7;12
11;12;HUN;14;5;8;2;15;13;7;6;21;3;19;17;10;22;9;1;4;12;20;16;11;18
12;13;BEL;17;10;3;5;16;15;11;8;21;1;14;9;12;22;18;4;6;2;20;7;19;13
13;14;ITA;19;2;12;5;10;16;9;8;21;3;20;18;14;22;15;1;7;6;11;4;13;17
14;15;USA;20;4;6;2;18;9;15;7;22;3;16;19;17;21;14;1;10;5;13;8;11;12
15;16;JPN;17;4;5;3;13;20;12;8;21;2;16;10;7;22;19;1;6;15;14;9;11;18
16;17;MYS;18;4;16;3;14;20;13;10;21;2;19;12;7;22;17;1;8;9;15;6;5;11
