;sc;ROS;HAM;RIC;KVY;PER;HUL;MAS;VER;ALO;GRO;BUT;MAL;VET;ERI;NAS;BOT;RSI;RAI;STE;SAI
36;0;1;2;6;5;8;ab;ab;4;9;ab;7;11;3;ab;12;ab;13;ab;ab;10
37;1;1;2;7;5;8;ab;ab;4;9;ab;6;11;3;ab;12;ab;13;ab;ab;10
38;1;4;1;11;10;6;ab;ab;3;7;ab;5;9;2;ab;12;ab;13;ab;ab;8
39;0;3;1;11;10;7;ab;ab;4;6;ab;5;9;2;ab;12;ab;13;ab;ab;8
40;0;3;1;11;10;7;ab;ab;4;6;ab;5;9;2;ab;12;ab;13;ab;ab;8
41;0;2;1;10;ab;7;ab;ab;4;6;ab;5;9;3;ab;11;ab;12;ab;ab;8
42;1;2;1;10;ab;7;ab;ab;4;6;ab;5;9;3;ab;12;ab;11;ab;ab;8
43;1;1;2;8;ab;7;ab;ab;3;6;ab;5;9;4;ab;12;ab;11;ab;ab;10
44;1;1;2;7;ab;6;ab;ab;3;5;ab;8;9;4;ab;12;ab;11;ab;ab;10
45;1;1;2;7;ab;6;ab;ab;3;5;ab;8;9;4;ab;11;ab;12;ab;ab;10
46;0;1;2;7;ab;6;ab;ab;4;5;ab;8;10;3;ab;11;ab;12;ab;ab;9
47;0;2;1;7;ab;6;ab;ab;4;5;ab;9;10;3;ab;11;ab;12;ab;ab;8
48;0;2;1;9;ab;5;ab;ab;4;6;ab;7;10;3;ab;11;ab;12;ab;ab;8
49;0;2;1;11;ab;5;ab;ab;4;10;ab;6;8;3;ab;9;ab;12;ab;ab;7
50;0;2;1;12;ab;5;ab;ab;4;10;ab;6;8;3;ab;9;ab;11;ab;ab;7
51;0;2;1;11;ab;5;ab;ab;4;10;ab;6;8;3;ab;9;ab;12;ab;ab;7
52;0;2;1;11;ab;5;ab;ab;4;10;ab;6;8;3;ab;9;ab;12;ab;ab;7
53;0;2;1;11;ab;5;ab;ab;4;10;ab;7;8;3;ab;9;ab;12;ab;ab;6
54;0;2;1;11;ab;5;ab;ab;4;10;ab;7;8;3;ab;9;ab;12;ab;ab;6
55;0;2;1;10;ab;5;ab;ab;4;11;ab;7;8;3;ab;9;ab;12;ab;ab;6
