;sc;HAM;ROS;VET;RIC;KVY;RAI;PER;MAL;VER;BUT;HUL;MAS;ALO;NAS;GRO;BOT;ERI;STE;MER;SAI
68;1;3;1;2;6;4;5;7;ab;ab;8;11;15;ab;9;12;14;13;17;16;10
69;1;3;1;2;6;4;5;7;ab;ab;8;11;15;ab;9;12;14;13;17;16;10
70;0;3;1;2;6;4;5;7;ab;ab;8;11;15;ab;9;12;14;13;17;16;10
71;0;3;1;2;5;4;6;7;ab;ab;8;11;15;ab;9;12;14;13;17;16;10
72;0;3;1;2;4;5;6;7;ab;ab;8;11;15;ab;9;12;14;13;17;16;10
73;0;3;1;2;4;5;6;7;ab;ab;8;11;15;ab;9;12;14;13;17;16;10
74;0;3;1;2;4;5;6;7;ab;ab;8;11;15;ab;9;12;14;13;17;16;10
75;0;3;1;2;4;5;6;7;ab;ab;8;11;15;ab;9;12;14;13;17;16;10
76;0;3;1;2;4;5;6;7;ab;ab;8;11;15;ab;9;12;14;13;17;16;10
77;0;3;1;2;5;4;6;7;ab;ab;8;11;15;ab;9;12;14;13;17;16;10
