;sc;HAM;ROS;RAI;BOT;GRO;MAL;HUL;KVY;RIC;PER;SAI;ERI;ALO;NAS;MAS;MER;STE;VET;VER;BUT
38;0;1;2;4;3;5;6;7;10;12;11;13;14;15;17;9;19;20;8;16;18
39;0;1;2;4;3;5;6;7;10;12;11;13;14;15;17;9;19;20;8;16;18
40;0;1;2;4;3;5;6;7;10;12;11;13;14;15;17;9;19;20;8;16;18
41;0;1;2;4;3;5;6;7;10;12;11;13;14;15;17;9;19;20;8;16;18
42;0;1;2;4;3;5;6;9;10;12;11;13;14;15;17;8;19;20;7;16;18
43;0;1;2;4;3;5;6;9;10;12;11;13;14;16;17;8;19;20;7;15;18
44;0;1;2;4;3;5;6;9;10;12;11;13;14;ab;16;8;18;19;7;15;17
45;0;1;2;4;3;5;6;9;10;12;11;13;14;ab;16;8;18;19;7;15;17
46;0;1;2;4;3;5;6;9;10;12;11;13;14;ab;16;8;18;19;7;15;17
47;0;1;2;4;3;5;6;9;10;12;11;13;14;ab;16;8;18;19;7;15;17
48;0;1;2;4;3;11;5;8;9;12;10;13;14;ab;16;7;18;19;6;15;17
49;0;1;2;4;3;11;5;8;9;12;10;13;14;ab;16;7;18;19;6;15;17
50;0;1;2;4;3;11;5;8;9;12;10;13;14;ab;16;7;18;19;6;15;17
51;0;1;2;4;3;11;5;8;9;12;10;13;14;ab;16;7;18;19;6;15;17
52;0;1;2;4;3;11;5;8;9;13;10;12;14;ab;16;7;18;19;6;15;17
53;0;1;2;4;3;11;5;8;9;13;10;12;14;ab;16;7;18;19;6;15;17
54;0;1;2;4;3;10;6;8;9;13;11;12;14;ab;16;7;17;18;5;15;ab
55;0;1;2;4;3;10;6;8;9;13;11;12;14;ab;16;7;17;18;5;15;ab
56;0;1;2;4;3;10;6;8;9;13;11;12;14;ab;16;7;17;18;5;15;ab
57;0;1;2;4;3;10;6;8;9;13;11;12;14;ab;16;7;ab;17;5;15;ab
58;0;1;2;4;3;10;6;8;9;13;11;12;14;ab;16;7;ab;17;5;15;ab
59;0;1;2;4;3;10;6;8;9;13;11;12;14;ab;16;7;ab;17;5;15;ab
60;0;1;2;4;3;10;6;8;9;13;11;12;14;ab;16;7;ab;17;5;15;ab
61;0;1;2;4;3;10;7;8;9;13;11;12;14;ab;16;6;ab;17;5;15;ab
62;0;1;2;4;3;10;7;8;9;13;11;12;14;ab;16;6;ab;17;5;15;ab
63;0;1;2;4;3;10;7;8;9;13;11;12;14;ab;16;6;ab;17;5;15;ab
64;0;1;2;4;3;10;7;8;9;13;11;12;14;ab;16;6;ab;17;5;15;ab
65;0;1;2;4;3;10;7;8;9;13;11;12;14;ab;16;6;ab;17;5;15;ab
66;0;1;2;4;3;10;7;8;9;13;11;12;14;ab;16;6;ab;17;5;15;ab
67;0;1;2;4;3;10;7;8;9;13;11;12;14;ab;16;6;ab;17;5;15;ab
68;0;1;2;4;3;10;7;8;9;13;11;12;14;ab;16;6;ab;17;5;15;ab
69;0;1;2;4;3;10;7;8;9;13;11;12;14;ab;16;6;ab;17;5;15;ab
